DESTATIS;REGION;HIGHCHARTS
5354;      Aachen, Kreis;
5334002;      Aachen, krfr. Stadt;
7131;      Ahrweiler, Landkreis; de-rp-07131000
9771;      Aichach-Friedberg, Landkreis; de-by-09771000
8425;      Alb-Donau-Kreis; de-bw-08425000
16077;      Altenburger Land, Kreis; de-th-16077000
7132;      Altenkirchen (Westerwald), Landkreis; de-rp-07132000
15081;      Altmarkkreis Salzwedel; de-st-15081000
15370;      Altmarkkreis Salzwedel, Kreis;
9171;      Alt_tting, Landkreis; de-by-09171000
7331;      Alzey-Worms, Landkreis; de-rp-07331000
9361;      Amberg; de-by-09361000
9371;      Amberg-Sulzbach, Landkreis; de-by-09371000
3451;      Ammerland, Landkreis; de-ni-03451000
15082;      Anhalt-Bitterfeld, Landkreis; de-st-15082000
15151;      Anhalt-Zerbst, Kreis;
14171;      Annaberg, Landkreis;
9561;      Ansbach; de-by-09571000
9571;      Ansbach, Landkreis; de-by-09561000
9661;      Aschaffenburg; de-by-09671000
9671;      Aschaffenburg, Landkreis; de-by-09661000
15352;      Aschersleben-Sta_furt, Kreis;
14191;      Aue-Schwarzenberg, Landkreis;
9761;      Augsburg; de-by-09772000
9772;      Augsburg, Landkreis; de-by-09761000
3452;      Aurich, Landkreis; de-ni-03452000
7332;      Bad D™rkheim, Landkreis; de-rp-07332000
9672;      Bad Kissingen, Landkreis; de-by-09672000
7133;      Bad Kreuznach, Landkreis; de-rp-07133000
9173;      Bad T_lz-Wolfratshausen, Landkreis; de-by-09173000
8211;      Baden-Baden, Kreisfreie Stadt; de-bw-08211000
9461;      Bamberg; de-by-09471000
9471;      Bamberg, Landkreis; de-by-09461000
12060;      Barnim, Landkreis; de-bb-12060000
14272;      Bautzen, Landkreis;
14625;      Bautzen, Landkreis; de-sn-14625000
9462;      Bayreuth; de-by-09472000
9472;      Bayreuth, Landkreis; de-by-09462000
9172;      Berchtesgadener Land, Landkreis; de-by-09172000
6431;      Bergstra_e, Landkreis; de-he-06431000
15153;      Bernburg, Kreis;
7231;      Bernkastel-Wittlich, Landkreis; de-rp-07231000
8426;      Biberach, Landkreis; de-bw-08426000
5711;      Bielefeld, Kreisfreie Stadt; de-nw-05711000
7134;      Birkenfeld, Landkreis; de-rp-07134000
15154;      Bitterfeld, Kreis;
5911;      Bochum, Kreisfreie Stadt; de-nw-05911000
8435;      Bodenseekreis; de-bw-08435000
5314;      Bonn, Kreisfreie Stadt; de-nw-05314000
5554;      Borken, Kreis; de-nw-05554000
5512;      Bottrop, Kreisfreie Stadt; de-nw-05512000
12051;      Brandenburg an der Havel, Kreisfreie Stadt; de-bb-12051000
3101;      Braunschweig, Kreisfreie Stadt; de-ni-03101000
8315;      Breisgau-Hochschwarzwald, Landkreis; de-bw-08315000
4011;      Bremen, Kreisfreie Stadt; de-ni-04011000
4012;      Bremerhaven, Kreisfreie Stadt; de-hb-04012000
8115;      B_blingen, Landkreis; de-bw-08115000
15083;      B_rde, Landkreis; de-st-15083000
15355;      B_rdekreis;
15084;      Burgenlandkreis; de-st-15084000
15256;      Burgenlandkreis;
8235;      Calw, Landkreis; de-bw-08235000
